axis_lat,axis_lon,r2,rmse
-34.0,96.0,0.0004118014327517683,33.57694589845782
-34.0,98.0,0.00039187786927741275,33.57728052079551
-34.0,100.0,0.00037086945695397056,33.57763335988915
-34.0,102.0,0.00034891782553492234,33.578002036512515
-34.0,104.0,0.0003261727287159344,33.57838403508015
-34.0,106.0,0.0003027921717594362,33.57877670152227
-34.0,108.0,0.00027894253607452235,33.579177241209926
-34.0,110.0,0.0002547986829152249,33.57958271722927
-32.0,40.0,0.00030253292758131156,33.57878105539149
-32.0,42.0,0.0003329861780103638,33.578269605252835
-32.0,44.0,0.000362828315080832,33.577768410960786
-32.0,46.0,0.00039178339980372456,33.57728210743125
-32.0,48.0,0.0004195996921091405,33.57681492340049
-32.0,50.0,0.00044605050038448724,33.57637066710591
-32.0,52.0,0.00047093450808610715,33.57595272074754
-32.0,54.0,0.0004940756466028651,33.57556404257057
-32.0,56.0,0.0005153225875874634,33.5752071753417
-32.0,58.0,0.0005345479283401788,33.57488425998468
-32.0,60.0,0.0005516471412961854,33.574597053183155
-32.0,62.0,0.00056653735390233,33.57434694783808
-32.0,64.0,0.0005791560189190026,33.57413499537181
-32.0,66.0,0.0005894595279939407,33.57396192899127
-32.0,68.0,0.0005974218137996257,33.57382818714939
-32.0,70.0,0.0006030329784704191,33.57373393657053
-32.0,72.0,0.000606297978842929,33.573679094327176
-32.0,74.0,0.0006072353923126661,33.57366334856736
-32.0,76.0,0.0006058762810764451,33.57368617759374
-32.0,78.0,0.0006022631672212286,33.573746867084594
-32.0,80.0,0.0005964491265403327,33.57384452532366
-32.0,82.0,0.0005884970050767935,33.57397809637128
-32.0,84.0,0.0005784787591602836,33.57414637116352
-32.0,86.0,0.0005664749170323224,33.57434799657078
-32.0,88.0,0.0005525741579773813,33.57458148248425
-32.0,90.0,0.000536873003067817,33.574845207028865
-32.0,92.0,0.0005194756101580822,33.57513742002618
-32.0,94.0,0.0005004936644856794,33.575456244852155
-32.0,96.0,0.00048004635511367244,33.575799678853706
-32.0,98.0,0.00045826042640872977,33.5761655925053
-32.0,100.0,0.00043527029270928885,33.576551727504416
-32.0,102.0,0.0004112182032809386,33.57695569402242
-32.0,104.0,0.0003862544435230264,33.57737496734627
-32.0,106.0,0.00036053755715603764,33.57780688416746
-32.0,108.0,0.00033423457278569657,33.57824863879658
-32.0,110.0,0.00030752121679056277,33.57869727960649
-30.0,40.0,0.00036451090095834804,33.57774015195626
-30.0,42.0,0.0003979577343004026,33.577178407957845
-30.0,44.0,0.000430554913829706,33.57663092496479
-30.0,46.0,0.00046202371232773043,33.57610238512479
-30.0,48.0,0.0004921121043420795,33.57559702236836
-30.0,50.0,0.0005205953020606113,33.575118613346554
-30.0,52.0,0.0005472757560398556,33.57467047735642
-30.0,54.0,0.000571982701867868,33.5742554838949
-30.0,56.0,0.0005945713357907723,33.57387606644887
-30.0,58.0,0.0006149217005748664,33.57353424115769
