offset_deg,orientation_azimuth_deg,candidate_pole_lat,candidate_pole_lon,predicted_elevation_m,target_elevation_m,residual_m,abs_residual_m
1.1,115.5,88.90000000000026,115.5,-188.65462229524815,-2800.0,2611.3453777047516,2611.3453777047516
1.0,115.5,89.0000000000001,115.5,-171.65631840351148,-2800.0,2628.3436815964888,2628.3436815964888
0.9,115.5,89.09999999999997,115.5,-154.62696652317837,-2800.0,2645.3730334768215,2645.3730334768215
0.8,115.5,89.20000000000012,115.5,-137.56677415152924,-2800.0,2662.4332258484706,2662.4332258484706
0.7000000000000001,115.5,89.29999999999993,115.5,-120.4759491616223,-2800.0,2679.5240508383777,2679.5240508383777
0.6000000000000001,115.5,89.40000000000006,115.5,-103.35469979976742,-2800.0,2696.6453002002327,2696.6453002002327
0.5,115.5,89.50000000000014,115.5,-86.20323468298469,-2800.0,2713.7967653170153,2713.7967653170153
0.4,115.5,89.60000000000053,115.5,-69.02176279646366,-2800.0,2730.9782372035365,2730.9782372035365
0.30000000000000004,115.5,89.7000000000007,115.5,-51.81049349101641,-2800.0,2748.1895065089834,2748.1895065089834
0.2,115.5,89.8000000000002,115.5,-34.56963648053063,-2800.0,2765.430363519469,2765.430363519469
0.1,115.5,89.8999999999998,115.5,-17.299401839405036,-2800.0,2782.700598160595,2782.700598160595
