latitude,longitude,mach_m
-60,75.0,0.161503
-60,80.0,0.153958
-60,85.0,0.155403
-60,90.0,0.151175
-60,95.0,0.147059
-60,100.0,0.149097
-60,105.0,0.148113
-60,110.0,0.142932
-60,115.0,0.14405
-60,120.0,0.140021
-60,125.0,0.137835
-60,130.0,0.133092
-60,135.0,0.13083
-60,140.0,0.131331
-60,145.0,0.128171
-60,150.0,0.126457
-60,155.0,0.124644
-60,160.0,0.122971
-60,165.0,0.123643
-60,170.0,0.123379
-60,175.0,0.121803
-55,-180.0,0.122262
-55,-175.0,0.122927
-55,-170.0,0.124062
-55,-165.0,0.134212
-55,-160.0,0.137622
-55,-155.0,0.13757
-55,-150.0,0.142405
-55,-145.0,0.154226
-55,-140.0,0.153686
-55,-135.0,0.158778
-55,-130.0,0.16679
-55,-125.0,0.164388
-55,-120.0,0.16732
-55,-115.0,0.162751
-55,-110.0,0.157212
-55,-105.0,0.14549
-55,-100.0,0.143318
-55,-95.0,0.138913
-55,-90.0,0.136034
-55,-85.0,0.137767
-55,-80.0,0.13555
-55,-75.0,0.135691
-55,-70.0,0.135531
-55,-65.0,0.134096
-55,-60.0,0.134247
-55,-55.0,0.133816
-55,-50.0,0.135427
-55,-45.0,0.133019
-55,-40.0,0.135638
-55,-35.0,0.134328
-55,-30.0,0.134376
-55,-25.0,0.134984
-55,-20.0,0.134819
-55,-15.0,0.130796
-55,-10.0,0.132316
-55,-5.0,0.138548
-55,0.0,0.137399
-55,5.0,0.140476
-55,10.0,0.139185
-55,15.0,0.140445
-55,20.0,0.140752
-55,25.0,0.147718
-55,30.0,0.152985
-55,35.0,0.157289
-55,40.0,0.162578
-55,45.0,0.168957
-55,50.0,0.177503
-55,55.0,0.183959
-55,60.0,0.171457
-55,65.0,0.160791
-55,70.0,0.151879
-55,75.0,0.14963
-55,80.0,0.145994
-55,85.0,0.146287
-55,90.0,0.144065
-55,95.0,0.142759
-55,100.0,0.14478
-55,105.0,0.140024
-55,110.0,0.140286
-55,115.0,0.14113
-55,120.0,0.135362
-55,125.0,0.130703
-55,130.0,0.127892
-55,135.0,0.127765
-55,140.0,0.125293
-55,145.0,0.123049
-55,150.0,0.12236
-55,155.0,0.122219
-55,160.0,0.122281
-55,165.0,0.122889
-55,170.0,0.121527
-55,175.0,0.124136
-50,-180.0,0.120944
-50,-175.0,0.125121
-50,-170.0,0.132342
-50,-165.0,0.133476
-50,-160.0,0.138998
-50,-155.0,0.146717
-50,-150.0,0.149476
-50,-145.0,0.151975
-50,-140.0,0.157117
-50,-135.0,0.167685
-50,-130.0,0.170516
-50,-125.0,0.168935
-50,-120.0,0.157674
-50,-115.0,0.156627
-50,-110.0,0.141095
-50,-105.0,0.139328
-50,-100.0,0.135588
-50,-95.0,0.138043
-50,-90.0,0.138196
-50,-85.0,0.135144
-50,-80.0,0.134869
-50,-75.0,0.134252
-50,-70.0,0.13291
-50,-65.0,0.136254
-50,-60.0,0.12971
-50,-55.0,0.134934
-50,-50.0,0.131443
-50,-45.0,0.131479
-50,-40.0,0.132781
-50,-35.0,0.131472
-50,-30.0,0.131305
-50,-25.0,0.134576
-50,-20.0,0.129855
-50,-15.0,0.133374
-50,-10.0,0.136546
-50,-5.0,0.140194
-50,0.0,0.139273
-50,5.0,0.139326
-50,10.0,0.139974
-50,15.0,0.142559
-50,20.0,0.144573
-50,25.0,0.147778
-50,30.0,0.15505
-50,35.0,0.165701
-50,40.0,0.174633
-50,45.0,0.183109
-50,50.0,0.175236
-50,55.0,0.173523
-50,60.0,0.158574
-50,65.0,0.154012
-50,70.0,0.152022
-50,75.0,0.144208
-50,80.0,0.143928
-50,85.0,0.143918
-50,90.0,0.144191
-50,95.0,0.140907
-50,100.0,0.138681
-50,105.0,0.139318
-50,110.0,0.139836
-50,115.0,0.135166
-50,120.0,0.128917
-50,125.0,0.127411
-50,130.0,0.12564
-50,135.0,0.123754
-50,140.0,0.122034
-50,145.0,0.124374
-50,150.0,0.120065
-50,155.0,0.119487
-50,160.0,0.121667
-50,165.0,0.12157
-50,170.0,0.121614
-50,175.0,0.121376
-45,-180.0,0.125442
-45,-175.0,0.128954
-45,-170.0,0.129072
-45,-165.0,0.137515
-45,-160.0,0.146173
-45,-155.0,0.145802
-45,-150.0,0.148491
-45,-145.0,0.154958
-45,-140.0,0.164909
-45,-135.0,0.174117
-45,-130.0,0.169525
-45,-125.0,0.161049
-45,-120.0,0.148035
-45,-115.0,0.144466
-45,-110.0,0.140797
-45,-105.0,0.134342
-45,-100.0,0.135713
-45,-95.0,0.135277
-45,-90.0,0.131987
-45,-85.0,0.131579
-45,-80.0,0.133444
-45,-75.0,0.131517
-45,-70.0,0.130906
-45,-65.0,0.129461
-45,-60.0,0.132803
-45,-55.0,0.131286
-45,-50.0,0.132776
-45,-45.0,0.133057
-45,-40.0,0.129748
-45,-35.0,0.132177
-45,-30.0,0.132274
-45,-25.0,0.133185
-45,-20.0,0.132121
-45,-15.0,0.13243
-45,-10.0,0.13796
-45,-5.0,0.1414
-45,0.0,0.141071
-45,5.0,0.141031
-45,10.0,0.141725
-45,15.0,0.144337
-45,20.0,0.145841
-45,25.0,0.15168
-45,30.0,0.157992
-45,35.0,0.174929
-45,40.0,0.186731
-45,45.0,0.171157
-45,50.0,0.172038
-45,55.0,0.161292
-45,60.0,0.159319
-45,65.0,0.150975
-45,70.0,0.143062
-45,75.0,0.145701
-45,80.0,0.142072
-45,85.0,0.144902
-45,90.0,0.141604
-45,95.0,0.140472
-45,100.0,0.138032
-45,105.0,0.137479
-45,110.0,0.137515
-45,115.0,0.136129
-45,120.0,0.125484
-45,125.0,0.128049
-45,130.0,0.123732
-45,135.0,0.124248
-45,140.0,0.121187
-45,145.0,0.120552
-45,150.0,0.118402
-45,155.0,0.122076
-45,160.0,0.1204
-45,165.0,0.120562
-45,170.0,0.118917
-45,175.0,0.117851
-40,-180.0,0.125712
-40,-175.0,0.127426
-40,-170.0,0.13413
-40,-165.0,0.143363
-40,-160.0,0.143991
-40,-155.0,0.14697
-40,-150.0,0.154004
-40,-145.0,0.159785
-40,-140.0,0.169413
-40,-135.0,0.170613
-40,-130.0,0.165736
-40,-125.0,0.148407
-40,-120.0,0.144488
-40,-115.0,0.141323
-40,-110.0,0.136095
-40,-105.0,0.131308
-40,-100.0,0.131465
-40,-95.0,0.133522
-40,-90.0,0.131816
-40,-85.0,0.131934
-40,-80.0,0.132338
-40,-75.0,0.130744
-40,-70.0,0.134277
-40,-65.0,0.131653
-40,-60.0,0.133429
-40,-55.0,0.129084
-40,-50.0,0.129366
-40,-45.0,0.129526
-40,-40.0,0.129545
-40,-35.0,0.134169
-40,-30.0,0.132097
-40,-25.0,0.132029
-40,-20.0,0.132772
-40,-15.0,0.134372
-40,-10.0,0.140452
-40,-5.0,0.141681
-40,0.0,0.140743
-40,5.0,0.140728
-40,10.0,0.143393
-40,15.0,0.141027
-40,20.0,0.151943
-40,25.0,0.155581
-40,30.0,0.170732
-40,35.0,0.175902
-40,40.0,0.177175
-40,45.0,0.166843
-40,50.0,0.168679
-40,55.0,0.154997
-40,60.0,0.15342
-40,65.0,0.150765
-40,70.0,0.143548
-40,75.0,0.140953
-40,80.0,0.144592
-40,85.0,0.146598
-40,90.0,0.140482
-40,95.0,0.139234
-40,100.0,0.138148
-40,105.0,0.138596
-40,110.0,0.136411
-40,115.0,0.133689
-40,120.0,0.126428
-40,125.0,0.129021
-40,130.0,0.12505
-40,135.0,0.120373
-40,140.0,0.119207
-40,145.0,0.120916
-40,150.0,0.11962
-40,155.0,0.119708
-40,160.0,0.121942
-40,165.0,0.120642
-40,170.0,0.121469
-40,175.0,0.12372
-35,-180.0,0.127671
-35,-175.0,0.128142
-35,-170.0,0.139276
-35,-165.0,0.144983
-35,-160.0,0.145923
-35,-155.0,0.148012
-35,-150.0,0.158051
-35,-145.0,0.162693
-35,-140.0,0.167629
-35,-135.0,0.168598
-35,-130.0,0.156863
-35,-125.0,0.14694
-35,-120.0,0.141593
-35,-115.0,0.136727
-35,-110.0,0.132109
-35,-105.0,0.133062
-35,-100.0,0.13123
-35,-95.0,0.131956
-35,-90.0,0.131229
-35,-85.0,0.132727
-35,-80.0,0.134634
-35,-75.0,0.131955
-35,-70.0,0.131393
-35,-65.0,0.130084
-35,-60.0,0.133651
-35,-55.0,0.128095
-35,-50.0,0.131895
-35,-45.0,0.129455
-35,-40.0,0.129819
-35,-35.0,0.13343
-35,-30.0,0.132498
-35,-25.0,0.130021
-35,-20.0,0.133977
-35,-15.0,0.135588
-35,-10.0,0.140542
-35,-5.0,0.142083
-35,0.0,0.142006
-35,5.0,0.142039
-35,10.0,0.140562
-35,15.0,0.142702
-35,20.0,0.154219
-35,25.0,0.163869
-35,30.0,0.178446
-35,35.0,0.178213
-35,40.0,0.169486
-35,45.0,0.167681
-35,50.0,0.166648
-35,55.0,0.155329
-35,60.0,0.154279
-35,65.0,0.147397
-35,70.0,0.143937
-35,75.0,0.138522
-35,80.0,0.143902
-35,85.0,0.140115
-35,90.0,0.14306
-35,95.0,0.140603
-35,100.0,0.139299
-35,105.0,0.137188
-35,110.0,0.136237
-35,115.0,0.131358
-35,120.0,0.126723
-35,125.0,0.129052
-35,130.0,0.122729
-35,135.0,0.120748
-35,140.0,0.118933
-35,145.0,0.118407
-35,150.0,0.120223
-35,155.0,0.120519
-35,160.0,0.121454
-35,165.0,0.120426
-35,170.0,0.121104
-35,175.0,0.122877
-30,-180.0,0.127015
-30,-175.0,0.134936
-30,-170.0,0.143066
-30,-165.0,0.146662
-30,-160.0,0.144796
-30,-155.0,0.153667
-30,-150.0,0.159678
-30,-145.0,0.163535
-30,-140.0,0.166658
-30,-135.0,0.167017
-30,-130.0,0.151891
-30,-125.0,0.142373
-30,-120.0,0.139458
-30,-115.0,0.135373
-30,-110.0,0.129603
-30,-105.0,0.132018
-30,-100.0,0.130106
-30,-95.0,0.137388
-30,-90.0,0.132183
-30,-85.0,0.133583
-30,-80.0,0.13157
-30,-75.0,0.129777
-30,-70.0,0.130298
-30,-65.0,0.131284
-30,-60.0,0.132366
-30,-55.0,0.129479
-30,-50.0,0.130242
-30,-45.0,0.126838
-30,-40.0,0.129029
-30,-35.0,0.130197
-30,-30.0,0.131249
-30,-25.0,0.129922
-30,-20.0,0.136268
-30,-15.0,0.136016
-30,-10.0,0.140063
-30,-5.0,0.142477
-30,0.0,0.141626
-30,5.0,0.143951
-30,10.0,0.142943
-30,15.0,0.145803
-30,20.0,0.155887
-30,25.0,0.172362
-30,30.0,0.175867
-30,35.0,0.176308
-30,40.0,0.166319
-30,45.0,0.164443
-30,50.0,0.158158
-30,55.0,0.15472
-30,60.0,0.150892
-30,65.0,0.146359
-30,70.0,0.140555
-30,75.0,0.140627
-30,80.0,0.146744
-30,85.0,0.140141
-30,90.0,0.142557
-30,95.0,0.14065
-30,100.0,0.13729
-30,105.0,0.137434
-30,110.0,0.135535
-30,115.0,0.129259
-30,120.0,0.129114
-30,125.0,0.12748
-30,130.0,0.121757
-30,135.0,0.119762
-30,140.0,0.120449
-30,145.0,0.118597
-30,150.0,0.121972
-30,155.0,0.123297
-30,160.0,0.121795
-30,165.0,0.119284
-30,170.0,0.123215
-30,175.0,0.124882
-25,-180.0,0.129149
-25,-175.0,0.137491
-25,-170.0,0.143122
-25,-165.0,0.143012
-25,-160.0,0.149142
-25,-155.0,0.159624
-25,-150.0,0.159322
-25,-145.0,0.164503
-25,-140.0,0.164769
-25,-135.0,0.160363
-25,-130.0,0.147487
-25,-125.0,0.14482
-25,-120.0,0.137817
-25,-115.0,0.132793
-25,-110.0,0.131798
-25,-105.0,0.130153
-25,-100.0,0.129801
-25,-95.0,0.135505
-25,-90.0,0.133932
-25,-85.0,0.132618
-25,-80.0,0.129432
-25,-75.0,0.130619
-25,-70.0,0.130071
-25,-65.0,0.131779
-25,-60.0,0.130273
-25,-55.0,0.127837
-25,-50.0,0.131768
-25,-45.0,0.130398
-25,-40.0,0.129637
-25,-35.0,0.134009
-25,-30.0,0.13016
-25,-25.0,0.130736
-25,-20.0,0.133348
-25,-15.0,0.136725
-25,-10.0,0.138382
-25,-5.0,0.143134
-25,0.0,0.143615
-25,5.0,0.144087
-25,10.0,0.145677
-25,15.0,0.151798
-25,20.0,0.165676
-25,25.0,0.177115
-25,30.0,0.170983
-25,35.0,0.168841
-25,40.0,0.160027
-25,45.0,0.166448
-25,50.0,0.155559
-25,55.0,0.15159
-25,60.0,0.149967
-25,65.0,0.140626
-25,70.0,0.141855
-25,75.0,0.143555
-25,80.0,0.145142
-25,85.0,0.142188
-25,90.0,0.140797
-25,95.0,0.140061
-25,100.0,0.138808
-25,105.0,0.138452
-25,110.0,0.133131
-25,115.0,0.127757
-25,120.0,0.128041
-25,125.0,0.125536
-25,130.0,0.1214
-25,135.0,0.119132
-25,140.0,0.12152
-25,145.0,0.117862
-25,150.0,0.121017
-25,155.0,0.121259
-25,160.0,0.122788
-25,165.0,0.118506
-25,170.0,0.124997
-25,175.0,0.127239
-20,-180.0,0.130622
-20,-175.0,0.141765
-20,-170.0,0.141339
-20,-165.0,0.141785
-20,-160.0,0.153434
-20,-155.0,0.161806
-20,-150.0,0.162976
-20,-145.0,0.166166
-20,-140.0,0.16355
-20,-135.0,0.154303
-20,-130.0,0.140627
-20,-125.0,0.140734
-20,-120.0,0.137074
-20,-115.0,0.133287
-20,-110.0,0.132804
-20,-105.0,0.13121
-20,-100.0,0.128644
-20,-95.0,0.131732
-20,-90.0,0.131969
-20,-85.0,0.132224
-20,-80.0,0.130037
-20,-75.0,0.131225
-20,-70.0,0.131397
-20,-65.0,0.131005
-20,-60.0,0.130766
-20,-55.0,0.129217
-20,-50.0,0.132503
-20,-45.0,0.129064
-20,-40.0,0.129347
-20,-35.0,0.134536
-20,-30.0,0.129743
-20,-25.0,0.131676
-20,-20.0,0.135774
-20,-15.0,0.136946
-20,-10.0,0.142236
-20,-5.0,0.143985
-20,0.0,0.143415
-20,5.0,0.144632
-20,10.0,0.144832
-20,15.0,0.157726
-20,20.0,0.169206
-20,25.0,0.17527
-20,30.0,0.172715
-20,35.0,0.170352
-20,40.0,0.16277
-20,45.0,0.163298
-20,50.0,0.156921
-20,55.0,0.154009
-20,60.0,0.149832
-20,65.0,0.142912
-20,70.0,0.144325
-20,75.0,0.147018
-20,80.0,0.143062
-20,85.0,0.146143
