n,z_min,z_max,z_median,spherical_r2,spherical_axis_lat,spherical_axis_lon,spherical_rmse,best_plane_r2,best_plane_pole_lat,best_plane_pole_lon,best_plane_slope_m_per_degree,best_harmonic_k,best_harmonic_r2,best_harmonic_amplitude_m,best_harmonic_phase_deg,scheme
16,-145.0,70.0,-18.63,0.0509779757043507,32.640524905446476,-121.15976984710868,48.37139018864322,0.0608963444858599,40.0,-100.0,0.33851917669603176,2,0.43474757109102524,50.38154850754788,-164.4221621949249,cell_then_source
15,-158.0,117.65,-56.0,0.14792845077055927,39.5773871830974,-170.8565811645714,62.073691370324525,0.14904799535540714,-40.0,8.0,-1.2263772294900228,2,0.20883514267414893,43.038691572075486,166.0313282014211,cell_then_source
17,-132.0,120.0,-14.4,0.021853604427659712,-17.750576979472566,-88.5782939279893,56.03956718707313,0.03188801300101807,-40.0,108.0,-0.21412574554893612,4,0.2522495681791961,53.13599248211884,-106.48996936646155,cell_then_source
15,-132.0,120.0,-4.66,0.06377680546390585,13.214256386182749,-15.554352818363949,66.40719881087287,0.081649199025704,-28.0,140.0,-0.37399558615064205,4,0.35162964490911996,77.10629610193564,-107.9055726763827,cell_then_source
14,-136.0,70.0,-26.6,0.26279248121371857,27.704318752600248,-144.98731617583636,44.7619745258278,0.2549982572832361,-28.0,36.0,-0.972980509806488,2,0.7064299483556755,61.298101690689016,-171.42348841748665,cell_then_source
17,-132.0,130.98,-13.0,0.08549355667060698,-34.43706186802476,-117.28002213896976,65.8720431966878,0.08586236985855111,-44.0,-128.0,0.5958642283145729,5,0.31563516870481667,54.775051004825386,-164.32844996614514,cell_then_source
19,-132.0,180.0,-13.0,0.10507207474730174,-56.39691146483213,-37.66491848829252,71.62575989591012,0.12668092532013542,-36.0,16.0,0.7441405224393782,7,0.4586485756067017,74.22914261001915,-149.22375768603217,cell_then_source
14,-158.0,70.0,-57.75,0.06723440403782166,39.5081410025045,-171.62149959353633,55.23607042545898,0.06809341435739824,-40.0,8.0,-0.7569909838279032,2,0.5165946678087979,64.84663936584164,-162.8554023555433,cell_then_source
14,-158.0,70.0,-24.0,0.2486434101738526,4.207814675540254,-140.1200342621483,44.716497365034236,0.23638418326601174,-4.0,40.0,-0.7825986553486873,3,0.48446841189306733,54.72933727607058,171.28125162464528,cell_then_source
14,-145.0,70.0,-8.83,0.10467746573617076,48.47674541098905,-137.45530927456497,51.20390389049837,0.11256269488370652,-48.0,44.0,-0.8516711738007507,4,0.3433573796260745,49.93742933615588,-98.28597532509929,cell_then_source
15,-145.0,160.65,-31.7,0.08579627487099539,33.378013933543485,-171.74355534089798,66.67305408104632,0.08786157961120411,-28.0,0.0,-0.6992350595541312,2,0.1888500591183886,43.8844353697461,141.81121486749294,cell_then_source
13,-158.0,70.0,-13.0,0.19094068378438656,10.434049986744975,-140.6950460117723,47.061960552722866,0.18465760233976136,12.0,-140.0,0.873959146083768,2,0.5358226033380686,53.06989795738656,150.58233486099434,cell_then_source
15,-158.0,70.0,-13.0,0.08139722602261457,26.56525911940091,-149.93747913481516,57.49852901110158,0.0759288326564107,-32.0,28.0,-0.7790346659125239,2,0.4597190575630187,58.86885105297101,-173.37621902863143,cell_then_source
17,-145.0,180.0,-13.0,0.1706400036106417,-67.35507147929538,-44.3261152973348,60.815460509714974,0.17658579859220125,68.0,156.0,-1.0714181538107526,7,0.27555386731846165,49.35294920865519,-153.17706715227615,cell_then_source
15,-136.0,120.0,-4.66,0.06185954414008776,-64.95353196481886,-53.76052342146822,57.13174642505518,0.0642930275010769,-68.0,-24.0,0.6360173171725277,4,0.3453294372718776,59.10193618016564,-108.44076872172865,cell_then_source
17,-132.0,120.0,-13.0,0.06361327233286784,-53.94016768869649,-48.62443563327429,54.80262245896665,0.05737119295330795,-56.0,-32.0,0.48464795932842747,8,0.30388444149524596,40.40132585432007,162.96845091419704,cell_then_source
17,-150.0,70.0,-40.2,0.08358792415805838,45.327230733932765,-179.25754287723367,50.735980020253415,0.076697222193566,-44.0,-4.0,-0.5797249925769726,2,0.548142478974643,58.424628560030015,-167.64093313762166,cell_then_source
17,-150.0,70.0,-45.0,0.20616661845996564,18.24654102684078,-138.7811827548785,48.13768762738911,0.20367923242317798,16.0,-136.0,0.8581815972034827,2,0.5063325705273791,51.04733409248538,170.0473176230306,cell_then_source
16,-132.0,70.0,-22.35,0.12585511758600754,32.194674181401936,-160.32071776702756,48.77336602029485,0.11564752652687627,-32.0,12.0,-0.658968429324528,2,0.4208528086254494,51.543717705193465,150.0578175530338,cell_then_source
16,-132.0,82.0,-14.0,0.24780778104849566,41.0910141660745,-141.39383805553533,47.39532587533143,0.2477636787045926,-36.0,44.0,-0.8658265893570393,8,0.14289360545241347,32.05548727172536,-120.38324806408093,cell_then_source
16,-158.0,70.0,-22.725,0.03213085403019189,19.20003678344005,-118.86573833024404,50.95364110547666,0.03755691273231809,-40.0,104.0,-0.22566405814277654,2,0.37171235079414255,51.99696256657668,-159.32377935403773,cell_then_source
12,-136.0,70.0,-8.11,0.218020497887347,9.419161124853852,-137.8794415564248,46.15004418550647,0.20814879800286923,-12.0,40.0,-1.0070049455102776,2,0.7001305986906502,58.286846757251105,175.93211577274138,cell_then_source
14,-136.0,70.0,-34.5,0.36383159633351503,41.026632152907546,-146.65677633894052,46.000053182525235,0.3683167437479552,44.0,-148.0,1.2858571232584297,2,0.47176833846415556,55.13418871025451,172.63812299168984,cell_then_source
14,-136.0,70.0,-21.0,0.08057621704414464,22.084089319636732,-148.6814574881312,45.638759467694,0.07689426246564812,-32.0,24.0,-0.6213716876383373,2,0.433173871186872,44.573492722977626,-176.67696722689269,cell_then_source
17,-132.0,120.0,-15.0,0.05962289399824894,-22.427470523985402,-21.720670408428393,58.40943831456924,0.06556840996784086,-28.0,12.0,0.4945903327585883,4,0.47655492749845163,65.71253064461179,-105.26078944292927,cell_then_source
