axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,r2,rmse,mae,scale_m_per_sigma,intercept_m,spearman,abs_spearman,kendall_tau,abs_kendall_tau,score,source_file,lambda_q,spearman_pred_obs,rotation_only_spearman,intercept,rotation_coeff,quadrupole_coeff_norm,path_m_mean,path_m_median,path_m_min,path_m_max,path_frac_below_threshold,path_integrated_penalty,ridge_crossings,longest_low_run_deg,longest_high_run_deg,mean_abs_dM_dtheta,max_abs_dM_dtheta
-15.0,150.0,79.0,14.182691487535408,47.95629469272575,0.5588183062504726,28.583228886277283,20.35192860215593,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.973279330254925,9.627900799963424,0.14411879675328956,0.14186386728975747,0.1334641427218824,0.17933773684960147,0.0,0.0,0,0.0,362.0,0.0006312911434941551,0.0034573357266573096
-15.0,150.0,79.0,14.182691487535408,47.95629469272575,0.5588183062504726,28.583228886277283,20.35192860215593,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.973279330254925,9.627900799963424,0.14411879675328956,0.14186386728975747,0.1334641427218824,0.17933773684960147,0.0,0.0,0,0.0,362.0,0.0006312911434941551,0.0034573357266573096
5.0,135.0,79.0,11.358993436382404,49.109391610875306,0.5588183062396913,28.58322888662653,20.351216134173526,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.647379967527702,-48.58017543859649,28.561673755450776,8.818537673419089,0.1529606906949637,0.15500125075279664,0.12990445602718992,0.17933773684960147,0.022099447513812154,0.00600684657494871,4,6.0,176.0,0.0007723395817295652,0.002974222237049365
5.0,135.0,79.0,11.358993436382404,49.109391610875306,0.5588183062396913,28.58322888662653,20.351216134173526,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.647379967527702,-48.58017543859649,28.561673755450776,8.818537673419089,0.1529606906949637,0.15500125075279664,0.12990445602718992,0.17933773684960147,0.022099447513812154,0.00600684657494871,4,6.0,176.0,0.0007723395817295652,0.002974222237049365
40.0,95.0,109.0,12.833856129758203,47.02375295882519,0.5588183061034877,28.5832288910387,20.35144262089737,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6332881375594493,-48.58017543859648,27.140882238926004,9.721963381615508,0.142631713425322,0.14230433337266524,0.11901282889590532,0.18582177942563233,0.281767955801105,0.5446253550906944,8,54.0,118.0,0.0007397148302161887,0.003171387793010891
40.0,95.0,109.0,12.833856129758203,47.02375295882519,0.5588183061034877,28.5832288910387,20.35144262089737,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6332881375594493,-48.58017543859648,27.140882238926004,9.721963381615508,0.142631713425322,0.14230433337266524,0.11901282889590532,0.18582177942563233,0.281767955801105,0.5446253550906944,8,54.0,118.0,0.0007397148302161887,0.003171387793010891
35.0,105.0,97.0,14.312734053127052,47.955753899018255,0.5588183058041123,28.583228900736653,20.351964409361127,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.923510632125915,9.661481413423273,0.14691587910147952,0.14797748334145003,0.1194216628019127,0.1833500091929818,0.23204419889502761,0.4215252746522729,6,44.0,132.0,0.0006982749476379461,0.003341385842852679
35.0,105.0,97.0,14.312734053127052,47.955753899018255,0.5588183058041123,28.583228900736653,20.351964409361127,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.923510632125915,9.661481413423273,0.14691587910147952,0.14797748334145003,0.1194216628019127,0.1833500091929818,0.23204419889502761,0.4215252746522729,6,44.0,132.0,0.0006982749476379461,0.003341385842852679
-20.0,155.0,85.0,11.182704974656795,47.598814896904486,0.5588183056949148,28.583228904273987,20.351003990655137,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6462759992813412,-48.58017543859649,28.03544538133293,9.335417259229873,0.14231830352647376,0.1412278823433721,0.12985852308423623,0.17997360121370667,0.09392265193370165,0.021011216905690577,8,24.0,214.0,0.0006775691265196794,0.003462318086376537
-20.0,155.0,85.0,11.182704974656795,47.598814896904486,0.5588183056949148,28.583228904273987,20.351003990655137,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6462759992813412,-48.58017543859649,28.03544538133293,9.335417259229873,0.14231830352647376,0.1412278823433721,0.12985852308423623,0.17997360121370667,0.09392265193370165,0.021011216905690577,8,24.0,214.0,0.0006775691265196794,0.003462318086376537
10.0,130.0,77.0,14.378217670653036,47.864275012042334,0.5588183054974831,28.583228910669582,20.35197387515619,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.86282295467757,9.712416493922497,0.15288250401492048,0.15453768505622775,0.13033974429210077,0.17933773684960147,0.011049723756906077,0.0038551366043518276,2,4.0,182.0,0.0007185039885027426,0.0032975351555301347
10.0,130.0,77.0,14.378217670653036,47.864275012042334,0.5588183054974831,28.583228910669582,20.35197387515619,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,26.86282295467757,9.712416493922497,0.15288250401492048,0.15453768505622775,0.13033974429210077,0.17933773684960147,0.011049723756906077,0.0038551366043518276,2,4.0,182.0,0.0007185039885027426,0.0032975351555301347
-40.0,-180.0,107.0,13.981297107547157,49.01988519856839,0.5588183054084227,28.5832289135546,20.35196342156237,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6559519562641507,-48.58017543859649,27.47707390281772,9.222115298105544,0.1382222732551725,0.1347891406346308,0.12068330996553635,0.1818998517500117,0.281767955801105,0.3744177932722551,10,50.0,80.0,0.0006985003109559533,0.003906970275694935
-40.0,-180.0,107.0,13.981297107547157,49.01988519856839,0.5588183054084227,28.5832289135546,20.35196342156237,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6559519562641507,-48.58017543859649,27.47707390281772,9.222115298105544,0.1382222732551725,0.1347891406346308,0.12068330996553635,0.1818998517500117,0.281767955801105,0.3744177932722551,10,50.0,80.0,0.0006985003109559533,0.003906970275694935
25.0,115.0,89.0,11.124496406960567,47.55339570123609,0.5588183053156739,28.583228916559097,20.35098030567013,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6462759992813412,-48.58017543859649,28.042208372391976,9.351811467519742,0.15344578236460155,0.1575881728862801,0.12152875847733853,0.182481974835186,0.143646408839779,0.1995275138980038,4,34.0,174.0,0.0008202499449582789,0.0028874155727301593
25.0,115.0,89.0,11.124496406960567,47.55339570123609,0.5588183053156739,28.583228916559097,20.35098030567013,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6462759992813412,-48.58017543859649,28.042208372391976,9.351811467519742,0.15344578236460155,0.1575881728862801,0.12152875847733853,0.182481974835186,0.143646408839779,0.1995275138980038,4,34.0,174.0,0.0008202499449582789,0.0028874155727301593
25.0,115.0,87.0,12.802710293031554,46.853241199238944,0.558818305191199,28.583228920591328,20.351413094841323,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6332881375594493,-48.58017543859648,27.089016372611272,9.790044140866126,0.15344578236460155,0.1575881728862801,0.12152875847733853,0.182481974835186,0.143646408839779,0.1995275138980038,4,34.0,174.0,0.0008202499449582789,0.0028874155727301593
25.0,115.0,87.0,12.802710293031554,46.853241199238944,0.558818305191199,28.583228920591328,20.351413094841323,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6332881375594493,-48.58017543859648,27.089016372611272,9.790044140866126,0.15344578236460155,0.1575881728862801,0.12152875847733853,0.182481974835186,0.143646408839779,0.1995275138980038,4,34.0,174.0,0.0008202499449582789,0.0028874155727301593
-5.0,-35.0,105.0,-14.433543734526715,-131.48008768721695,0.5588183050665457,28.583228924629346,20.352046644541403,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,27.101555034546525,9.496652751362806,0.14926046645819652,0.1509822341902972,0.12837493973273784,0.17933773684960147,0.1270718232044199,0.0561763043446164,4,44.0,188.0,0.0006840722498048935,0.003743993706789489
-5.0,-35.0,105.0,-14.433543734526715,-131.48008768721695,0.5588183050665457,28.583228924629346,20.352046644541403,,,,,,,,09_top250_constrained_joint_candidates.csv,0.1,0.6242940433170392,0.6359506492124372,-48.58017543859649,27.101555034546525,9.496652751362806,0.14926046645819652,0.1509822341902972,0.12837493973273784,0.17933773684960147,0.1270718232044199,0.0561763043446164,4,44.0,188.0,0.0006840722498048935,0.003743993706789489
20.0,120.0,83.0,12.97883553243624,46.83549288524534,0.5588183050542048,28.583228925029108,20.35146361205601,,,,,,,,09_constrained_joint_scan.csv,0.1,0.6242940433170392,0.6332881375594493,-48.58017543859649,27.012130380610113,9.82538737528438,0.1528621494617699,0.15334564931863962,0.12288406393089733,0.18002314349676568,0.06629834254143646,0.11380073118576955,6,20.0,176.0,0.0007384023561843074,0.0030786675531303126
