n,gradient_r2,gradient_axis_lat,gradient_axis_lon,raw_best_harmonic_k,raw_best_harmonic_r2,residual_best_harmonic_k,residual_best_harmonic_r2,l1_r2,l1_delta_r2,l2_r2,l2_delta_r2,l3_r2,l3_delta_r2
81,0.007924943645392757,46.19598643920847,-143.32429593996434,2,0.05463294729752877,2,0.04891008359575166,0.007924943645392757,0.007924943645392757,0.07610850648020828,0.06818356283481553,0.17140061359995373,0.09529210711974545
81,0.02228755160825413,78.49631143170711,-113.75236029556675,8,0.04020497630301367,5,0.044356995982420155,0.02228755160825413,0.02228755160825413,0.10434644167654505,0.08205889006829092,0.2182100177180245,0.11386357604147945
81,0.026519346424114576,26.449346391456192,-179.31686403246226,2,0.052563150976959405,2,0.048118126120637816,0.026519346424114576,0.026519346424114576,0.09360263184125261,0.06708328541713804,0.21951848327644852,0.1259158514351959
81,0.017618772315847075,55.344208418315574,-55.615943177789745,5,0.06540334445769569,5,0.06531551113525547,0.017618772315847075,0.017618772315847075,0.08412875096893402,0.06650997865308694,0.17530311706055213,0.09117436609161811
81,0.021139031026901622,48.017172237632245,-125.54437326206363,8,0.05322239342976132,8,0.03985052872407391,0.021139031026901622,0.021139031026901622,0.12736456606542912,0.1062255350385275,0.21855046322963423,0.09118589716420511
81,0.08073024913669202,53.30705309517234,-140.35735404352397,8,0.04296572502272633,8,0.03227877576840177,0.08073024913669202,0.08073024913669202,0.14843656327888644,0.06770631414219441,0.21758854616415824,0.0691519828852718
81,0.04309199355748561,63.78376543704355,-148.3903927441053,8,0.04044136395477571,8,0.030986591472743963,0.04309199355748561,0.04309199355748561,0.0793738969144464,0.0362819033569608,0.16908434538726858,0.08971044847282217
81,0.032637673157815184,70.69551003296027,-154.90768555076266,2,0.037974344882668265,8,0.04444214253823331,0.032637673157815184,0.032637673157815184,0.12250217862063517,0.08986450546281999,0.20221105425900066,0.07970887563836548
81,0.022165952799576227,79.39801790617678,-169.41715530904645,2,0.05435966874510634,2,0.05829918408414991,0.022165952799576227,0.022165952799576227,0.13714092118852328,0.11497496838894705,0.22885243419463064,0.09171151300610736
81,0.028604159108228222,39.73385221305233,-142.66132869341698,2,0.07539506163006715,2,0.06372504360588227,0.028604159108228222,0.028604159108228222,0.1360183740102887,0.10741421490206049,0.22536111337990894,0.08934273936962023
