mode,gradient_r2,l1_r2,l2_r2,l3_r2,l2_delta_r2,l3_delta_r2,residual_best_harmonic_k,residual_best_harmonic_r2
global,0.0005868777179972584,0.0005868777179972584,0.002156748453850721,0.004355077701108323,0.0015698707358534625,0.002198329247257602,5,0.0012469832790955593
global,0.000682003780781204,0.000682003780781204,0.002812406658977973,0.00440415888793988,0.0021304028781967688,0.0015917522289619068,7,0.0008491097986452756
global,0.0001601434499383103,0.0001601434499383103,0.0020365530317828506,0.005968332314619129,0.0018764095818445403,0.0039317792828362785,8,0.0010079459130718504
global,0.00030825626973263187,0.00030825626973263187,0.0008199555140360193,0.002301736525653686,0.0005116992443033874,0.0014817810116176666,3,0.0006175406811719242
global,0.0018076616511704113,0.0018076616511704113,0.0026237913906607124,0.0034622769222039107,0.0008161297394903011,0.0008384855315431983,6,0.00034434243123393493
global,0.0015865111692598965,0.0015865111692598965,0.00276657689702553,0.0065767341746693075,0.0011800657277656335,0.0038101572776437775,5,0.0017396822113097121
global,0.0026149041819373275,0.0026149041819373275,0.0037801831137506126,0.0066645638424555065,0.001165278931813285,0.002884380728704894,4,0.0017354482526550363
global,0.0001047934205378187,0.0001047934205378187,0.0016203100748021226,0.003667849462402062,0.001515516654264304,0.0020475393875999393,6,0.0011944530786787144
global,0.0007921406439744816,0.0007921406439744816,0.0018305717854213421,0.005141563929363158,0.0010384311414468606,0.0033109921439418155,5,0.0020044516429034154
global,0.0003204129851382964,0.0003204129851382964,0.0022627261420615774,0.003181828672629061,0.001942313156923281,0.0009191025305674838,3,0.00043429715285658865
global,0.0019076152304204896,0.0019076152304204896,0.005345049747313757,0.00833677780079578,0.0034374345168932674,0.0029917280534820234,5,0.0012605171663878645
global,0.0002893260422666133,0.0002893260422666133,0.002340620413513572,0.004644928995776287,0.002051294371246959,0.002304308582262715,2,0.0015738945309103913
global,0.0007153062313876024,0.0007153062313876024,0.002392642377596732,0.003575729739687006,0.0016773361462091296,0.0011830873620902738,2,0.0006894542011441906
global,0.0003522912799120981,0.0003522912799120981,0.0010813377821176084,0.004615145640808782,0.0007290465022055104,0.0035338078586911736,3,0.0006277903481156644
global,0.00037073695917011484,0.00037073695917011484,0.0012326708430111522,0.0035588293236143986,0.0008619338838410373,0.0023261584806032465,4,0.0009058217546910052
global,0.0008050748027232935,0.0008050748027232935,0.0014378885836752175,0.003545574653795014,0.0006328137809519241,0.0021076860701197964,5,0.0008009037212832748
global,0.0002767787248366682,0.0002767787248366682,0.001749543468927084,0.005045574282732335,0.0014727647440904157,0.0032960308138052508,5,0.002386108549553123
global,0.0033140253446257706,0.0033140253446257706,0.003465799994850305,0.004862003190753361,0.0001517746502245343,0.0013962031959030563,6,0.0003594920866197837
global,0.0008480742464787028,0.0008480742464787028,0.0023616887120662122,0.007448796781020062,0.0015136144655875095,0.0050871080689538495,5,0.0017053409996159452
global,0.00010966215032237603,0.00010966215032237603,0.0006886968667058069,0.003473982242633733,0.0005790347163834308,0.002785285375927926,6,0.0010097888857973913
global,0.0006248190994947445,0.0006248190994947445,0.004540544325541851,0.009464645215251921,0.0039157252260471065,0.00492410088971007,7,0.0011847737014036852
global,0.0006816416802769565,0.0006816416802769565,0.002101855585418755,0.0048715005392891975,0.0014202139051417983,0.0027696449538704426,7,0.0023633658351513986
global,0.0009615571817654933,0.0009615571817654933,0.0024048563037855075,0.004956892823076875,0.0014432991220200142,0.0025520365192913674,5,0.0011824051712280292
global,1.8461388723300942e-05,1.8461388723300942e-05,0.001459597203630314,0.0028189534829370366,0.001441135814907013,0.0013593562793067226,6,0.0006476862576909603
global,0.0005169803565588937,0.0005169803565588937,0.002728846311326971,0.004563873335959423,0.0022118659547680775,0.0018350270246324518,7,0.0013495621822311454
global,0.0012055502543197871,0.0012055502543197871,0.0031115391513786284,0.00485684517166618,0.0019059888970588412,0.0017453060202875514,7,0.0005905287089562616
global,0.0005383031156528384,0.0005383031156528384,0.0017460516842747742,0.0032031328170450957,0.0012077485686219358,0.0014570811327703215,6,0.0007917536798879299
global,0.0002488121908150731,0.0002488121908150731,0.002969219176869986,0.004012348517141495,0.002720406986054913,0.0010431293402715092,6,0.001477312479615911
global,0.000938429454026446,0.000938429454026446,0.005171067724849099,0.007033810050243394,0.004232638270822653,0.0018627423253942954,7,0.0014462856261173718
global,0.0008355319228390279,0.0008355319228390279,0.0034546824539762877,0.005677515682568246,0.00261915053113726,0.0022228332285919583,6,0.0005775836597819994
global,0.00039371706613378077,0.00039371706613378077,0.0036805162527007163,0.00447467424178305,0.0032867991865669355,0.0007941579890823336,7,0.0012498267882717906
global,0.0003877106461761537,0.0003877106461761537,0.0012163643204265995,0.0034597720100554286,0.0008286536742504458,0.002243407689628829,5,0.0013581252055309134
global,0.0013112163054812553,0.0013112163054812553,0.002457512426876418,0.006286682951143874,0.0011462961213951628,0.0038291705242674556,4,0.002148917556277219
global,0.0009972565227115426,0.0009972565227115426,0.001440138756696241,0.0024852081927363434,0.0004428822339846983,0.0010450694360401025,4,0.0007232512450685569
global,0.0007659008988644134,0.0007659008988644134,0.0023998402902711824,0.00473200512068539,0.001633939391406769,0.0023321648304142073,3,0.0008465504284072001
global,0.00013285846812094437,0.00013285846812094437,0.0010145214752483867,0.0021015908550399143,0.0008816630071274423,0.0010870693797915276,6,0.0002142012982100372
global,0.001116346416684011,0.001116346416684011,0.0018918593549820395,0.0028312771530263348,0.0007755129382980286,0.0009394177980442953,8,0.001358087858395196
global,0.0007372646967778174,0.0007372646967778174,0.005294700177046141,0.006062839535133868,0.004557435480268324,0.0007681393580877272,5,0.0012795950424774327
global,0.0021713482680402185,0.0021713482680402185,0.007207892595144205,0.008836473514856502,0.005036544327103987,0.001628580919712297,2,0.0018763339021410363
global,0.00012962625709000974,0.00012962625709000974,0.0006527487852295843,0.0050103104452011715,0.0005231225281395746,0.004357561659971587,2,0.0003248887454780913
global,0.00014628790959425597,0.00014628790959425597,0.0032080835693518717,0.0043827119405086545,0.0030617956597576157,0.0011746283711567829,8,0.0016382432477137776
global,0.0016961802174625396,0.0016961802174625396,0.0035559018864453895,0.005377552608082703,0.00185972166898285,0.0018216507216373135,8,0.0014098751708777613
global,3.684816029403404e-05,3.684816029403404e-05,0.0011377372331826674,0.002057055639605676,0.0011008890728886334,0.0009193184064230087,8,0.00037984505042243377
global,0.0007161150977734732,0.0007161150977734732,0.0013010083457387633,0.007309596008280961,0.0005848932479652902,0.0060085876625421974,8,0.0025696774206043216
global,0.0003554456290527641,0.0003554456290527641,0.0012670345976744102,0.004163964882085591,0.0009115889686216461,0.002896930284411181,6,0.001061264047914956
global,0.0008353787873175422,0.0008353787873175422,0.0013927450380504247,0.0024661313618256075,0.0005573662507328825,0.0010733863237751828,6,0.0005216047316490835
global,0.0001407939055675378,0.0001407939055675378,0.0013168755879170435,0.004436484048077727,0.0011760816823495057,0.0031196084601606833,3,0.0006871522932190288
global,0.0004019344153056714,0.0004019344153056714,0.0029742527814003994,0.004068341608027604,0.002572318366094728,0.0010940888266272042,8,0.0018447770347227443
global,0.0012574064062853552,0.0012574064062853552,0.001833131330902904,0.0037478167603086643,0.0005757249246175489,0.0019146854294057603,8,0.001199320514176594
global,0.000936301853101229,0.000936301853101229,0.0017765697564740002,0.005081030597892555,0.0008402679033727711,0.003304460841418555,8,0.001133521653029157
global,0.002394992744921942,0.002394992744921942,0.003648061408731751,0.00452032374984801,0.0012530686638098087,0.0008722623411162589,6,0.0008981534042326045
global,0.00218752497384056,0.00218752497384056,0.006367054840428321,0.010514203245982845,0.004179529866587761,0.004147148405554524,5,0.0010608292944591646
global,0.002316481901053824,0.002316481901053824,0.0032326131750921583,0.004313763881715893,0.0009161312740383343,0.0010811507066237347,5,0.0003811900811263591
global,0.0008493426278719518,0.0008493426278719518,0.0027966492268138854,0.004362782180566849,0.0019473065989419336,0.0015661329537529634,4,0.0010924259682231208
global,0.0011859366345136069,0.0011859366345136069,0.005119703921037999,0.010041797286936438,0.003933767286524392,0.004922093365898439,4,0.0026398841033133946
global,0.0003659815990344484,0.0003659815990344484,0.003984871560255843,0.004996676758529106,0.0036188899612213943,0.0010118051982732634,7,0.0011333561047544016
global,0.0012576573258042956,0.0012576573258042956,0.0037549848904423477,0.004787263572455958,0.002497327564638052,0.0010322786820136098,6,0.001452733741540646
global,0.0006991128374649325,0.0006991128374649325,0.0013573678306105785,0.0027102454622836003,0.0006582549931456461,0.0013528776316730218,8,0.0007991965812804702
global,0.0001305668486383249,0.0001305668486383249,0.0024022387090547603,0.003761519838403893,0.0022716718604164354,0.0013592811293491325,7,0.0015753486177858544
global,0.0007723389482354737,0.0007723389482354737,0.0030607170117175064,0.004953680968848295,0.0022883780634820328,0.0018929639571307888,6,0.0008528633737898694
global,0.0011561619606295093,0.0011561619606295093,0.0037770198949274025,0.006336919432639032,0.0026208579342978933,0.0025598995377116296,2,0.0007214813878175796
global,0.001419406178293281,0.001419406178293281,0.003085896750687711,0.00463026996205218,0.00166649057239443,0.0015443732113644693,4,0.0013535995536495538
global,0.00022251046639598648,0.00022251046639598648,0.0014649883930638596,0.0047151485971524965,0.0012424779266678732,0.003250160204088637,8,0.0010233829550735374
global,0.0014885576468521844,0.0014885576468521844,0.002044419148619636,0.0041070910539263705,0.0005558615017674517,0.0020626719053067344,7,0.0009375184834100603
global,0.0010282906397537372,0.0010282906397537372,0.001631843019677226,0.0029056117749842736,0.0006035523799234888,0.0012737687553070476,4,0.0005971467053864643
global,0.0017823147973221598,0.0017823147973221598,0.0030527959176125385,0.004051026625503051,0.0012704811202903787,0.0009982307078905128,3,0.0007938307354657947
global,0.0011682622092081818,0.0011682622092081818,0.0022715362151942697,0.005183264083508776,0.001103274005986088,0.0029117278683145065,3,0.0012425250261457466
global,0.0009668370348431266,0.0009668370348431266,0.0011716665989121022,0.001632516665361794,0.00020482956406897568,0.00046085006644969173,5,0.0009119955794536505
global,0.0003341259717081213,0.0003341259717081213,0.003743165043774588,0.006071077887402687,0.0034090390720664665,0.0023279128436280994,6,0.0008826915261667123
global,0.0024400879015900045,0.0024400879015900045,0.0039371226816110605,0.005452493280541759,0.001497034780021056,0.0015153705989306987,2,0.0007006704898021576
global,0.0013679964709830683,0.0013679964709830683,0.0026846751551814485,0.0049958264165217425,0.0013166786841983802,0.002311151261340294,6,0.0008033254944873613
global,0.0008982383999647237,0.0008982383999647237,0.0028661538026010236,0.004202754851660329,0.0019679154026363,0.001336601049059305,5,0.0003966208805248339
global,0.0018457389322193984,0.0018457389322193984,0.006427217065095414,0.008767518151169607,0.004581478132876016,0.0023403010860741924,4,0.0006806087851787268
global,0.001009339534670417,0.001009339534670417,0.003930976016085164,0.009244226660007016,0.0029216364814147466,0.005313250643921852,5,0.0008164286083678363
global,0.002030632266112886,0.002030632266112886,0.0032700745021625455,0.006744691712961992,0.0012394422360496593,0.0034746172107994466,8,0.0021255523778103136
global,0.0009680257502165945,0.0009680257502165945,0.004050052633510326,0.006191564432552643,0.0030820268832937314,0.002141511799042317,2,0.0009600254035978528
global,0.0009537845606029105,0.0009537845606029105,0.00242639115747989,0.0044285355068471866,0.0014726065968769797,0.0020021443493672963,5,0.001128089300009405
global,0.0007992917772284835,0.0007992917772284835,0.003960883471612053,0.0051280886166901185,0.00316159169438357,0.0011672051450780652,2,0.0027716349182005384
global,0.0007926588509787891,0.0007926588509787891,0.0029989020966254554,0.005333185202251789,0.0022062432456466663,0.0023342831056263336,4,0.0014476346079780322
