name,axis_lat,axis_lon,angle_deg,lambda_q,rotated_pole_lat,rotated_pole_lon,rotation_only_r2,constrained_joint_r2,quadrupole_gain_r2,rotation_only_rmse,constrained_joint_rmse,spearman_pred_obs,rotation_coeff,quadrupole_coeff_norm
ECDO_31E_52,0.0,31.0,52.0,3.0,38.0,-59.00000000000001,0.020913371970166295,0.047688777524262815,0.02677540555409652,33.23083013534446,32.77329310098836,0.38872292311443024,-5.526325908333642,5.83401347866999
ECDO_149W_104,0.0,-149.0,104.0,3.0,-14.000000000000004,121.0,0.0019985963377785465,0.04768875612320622,0.045690159785427675,33.550284475153056,32.77329346924145,0.3889442533633531,-3.3618670408219975,7.440691478909592
observed_77E_104,0.0,77.0,104.0,3.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.047688755451942844,0.04763166790498352,33.58290292783399,32.77329348079204,0.38898607086158565,-1.2227762412481442,7.818496786724442
observed_77E_107,0.0,77.0,107.0,3.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.047688754100811304,0.04767344359790926,33.58360445776333,32.773293504041284,0.38899834021449353,-1.0882422471076911,7.85910165011926
ECDO_31E_107,0.0,31.0,107.0,3.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04768874290519187,0.03934503277537371,33.44346107005107,32.77329369668698,0.3889363703368855,3.046763095503637,7.637338214676837
ECDO_31E_104,0.0,31.0,104.0,3.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.04768874123324818,0.04117103009483791,33.47423768121131,32.77329372545651,0.38897822229643586,2.446998561054052,7.767593652362771
best_07_40N_110E_107,40.0,110.0,107.0,10.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.047688379889483046,0.047048385912276336,33.57311309707828,32.773299943184234,0.38893617031141,2.840385584710369,7.004266810265441
ECDO_31E_26,0.0,31.0,26.0,10.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04768825956092215,0.009675292800721658,32.93936631252479,32.77330201370601,0.3886947386259294,-6.383926495953033,4.689701775055255
ECDO_31E_52,0.0,31.0,52.0,10.0,38.0,-59.00000000000001,0.020913371970166295,0.04768818850851342,0.026774816538347124,33.23083013534446,32.77330323632141,0.3883934815307205,-5.523443102200929,5.806075945854209
ECDO_149W_104,0.0,-149.0,104.0,10.0,-14.000000000000004,121.0,0.0019985963377785465,0.04768795264968895,0.0456893563119104,33.550284475153056,32.773307294799004,0.38835925207756605,-3.3567751407533013,7.410828395472646
observed_77E_104,0.0,77.0,104.0,10.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.047687943425317236,0.047630855878357914,33.58290292783399,32.77330745352491,0.3886772779751449,-1.2171959702750306,7.78978715620432
observed_77E_107,0.0,77.0,107.0,10.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04768792856922188,0.04767261806631984,33.58360445776333,32.773307709157166,0.3887245276258997,-1.0819620231946312,7.830064981335742
ECDO_31E_107,0.0,31.0,107.0,10.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.047687807849648545,0.039344097719830384,33.44346107005107,32.77330978640669,0.3888901502180027,3.047572785923563,7.603470902463082
ECDO_31E_104,0.0,31.0,104.0,10.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.04768778935475704,0.04117007821634677,33.47423768121131,32.773310104652545,0.38891614603823793,2.4483940748083377,7.733696999035314
best_07_40N_110E_107,40.0,110.0,107.0,30.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.04768479065139042,0.04704479667418371,33.57311309707828,32.77336170398986,0.38869150188410434,2.821540049791549,6.958133342659083
ECDO_31E_26,0.0,31.0,26.0,30.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04768385432785793,0.009670887567657438,32.93936631252479,32.77337781549473,0.3883172201325456,-6.380629159073997,4.604365086255029
ECDO_31E_52,0.0,31.0,52.0,30.0,38.0,-59.00000000000001,0.020913371970166295,0.04768322039843376,0.026769848428267462,33.23083013534446,32.773388723639655,0.3876881210955623,-5.515417748157548,5.72856591805015
ECDO_149W_104,0.0,-149.0,104.0,30.0,-14.000000000000004,121.0,0.0019985963377785465,0.04768114576689475,0.045682549429116204,33.550284475153056,32.77342442219623,0.3876235999566917,-3.342505598571244,7.327758753994195
observed_77E_104,0.0,77.0,104.0,30.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.04768102075468916,0.04762393320772984,33.58290292783399,32.7734265733024,0.3881917897380411,-1.2016615317252228,7.709508391241054
observed_77E_107,0.0,77.0,107.0,30.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04768089096870942,0.04766558046580738,33.58360445776333,32.77342880655157,0.38763041112379903,-1.0644520781148061,7.748870345355223
ECDO_31E_107,0.0,31.0,107.0,30.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04767989346100365,0.03933618333118549,33.44346107005107,32.77344597082923,0.3883527162264223,3.0497915614918814,7.509266785646198
ECDO_31E_104,0.0,31.0,104.0,30.0,-14.000000000000004,-59.00000000000001,0.006517711138410265,0.04767972911533935,0.04116201797692909,33.47423768121131,32.773448798751,0.3881471155089292,2.452261981072552,7.639386260546386
best_07_40N_110E_107,40.0,110.0,107.0,100.0,13.981297107547157,60.98011480143162,0.0006399939772067098,0.04764624269499851,0.0470062487177918,33.57311309707828,32.77402499977742,0.39002614246545464,2.7585685046098676,6.802632303224971
ECDO_31E_26,0.0,31.0,26.0,100.0,64.00000000000001,-59.00000000000001,0.038012966760200495,0.04764063508686711,0.009627668326666616,32.93936631252479,32.77412148893239,0.3885205582023134,-6.370577792930387,4.3328124255078855
ECDO_31E_52,0.0,31.0,52.0,100.0,38.0,-59.00000000000001,0.020913371970166295,0.04763380791931937,0.026720435949153076,33.23083013534446,32.7742389624544,0.38987020256723026,-5.48956506296134,5.481494690556868
ECDO_149W_104,0.0,-149.0,104.0,100.0,-14.000000000000004,121.0,0.0019985963377785465,0.047612447816887116,0.04561385147910857,33.550284475153056,32.77460649816803,0.3878802571768279,-3.295530110529248,7.06064265512736
observed_77E_104,0.0,77.0,104.0,100.0,-14.000000000000004,-12.999999999999996,5.708754695932239e-05,0.04760979532102361,0.047552707774064285,33.58290292783399,32.774652138436764,0.38572665667336864,-1.1516627509046204,7.447234823052986
observed_77E_107,0.0,77.0,107.0,100.0,-16.999999999999996,-12.999999999999996,1.5310502902043943e-05,0.04760849291905356,0.047593182416151514,33.58360445776333,32.774674548241435,0.3858743294138048,-1.007810109723638,7.483598927894624
ECDO_31E_107,0.0,31.0,107.0,100.0,-16.999999999999996,-59.00000000000001,0.00834371012981816,0.04760025857227401,0.03925654844245585,33.44346107005107,32.774816232333784,0.3887957481198842,3.0565832545579155,7.20639276910407
