left_out_cell,left_out_n,remaining_n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model
12_4,11,3165,0.0025090098127766858,0.08219456044374973,0.07968555063097305,0.0402108790497393,-33.64634016275877,-110.45303103171581,24.9831957314493
12_5,41,3135,0.0025140457493662005,0.0811557376078701,0.07864169185850389,0.03977744995333199,-27.145873391840894,-108.44321750773389,25.039959975790126
12_8,37,3139,0.002083109336574629,0.0818166390071523,0.07973352967057767,0.04010941093269682,-35.82350956521525,-103.79295673399915,24.748876785940293
12_9,207,2969,0.03201035604516578,0.12001577582731027,0.08800541978214449,0.042813063689711495,-33.316612883100454,-141.81013914928405,18.226124454769256
13_10,1,3175,0.002435705169261504,0.08299139457131444,0.08055568940205293,0.04062443958846973,-37.208674893041724,-110.57978857634147,25.098484495166257
13_15,1,3175,0.0024462261379252226,0.08317128762319836,0.08072506148527314,0.040642387002462366,-37.09792723276604,-111.22100409915514,25.035459261458943
13_16,3,3173,0.0025151647890518936,0.08276996264506664,0.08025479785601475,0.04026232008217012,-37.52051019550456,-109.46892388247053,25.03175852037434
13_2,36,3140,0.0025332952810168674,0.08187785583743845,0.07934456055642158,0.04132941680164404,-21.89994958783343,-118.88024016487893,25.014351585950934
13_8,23,3153,0.0016039209828360157,0.08206632048558338,0.08046239950274736,0.04095876912011431,-28.902103022551454,-94.08498655771078,24.3356957557799
13_9,238,2938,0.0008638187940226416,0.09567222192283886,0.09480840312881622,0.04871039139808797,10.481996495092561,-27.435718048601665,28.3697271945374
14_8,36,3140,0.0019402405823060187,0.08271683373221717,0.08077659314991115,0.041003996685063826,-32.61919947102171,-104.7890287679693,24.764835996737908
14_9,19,3157,0.0026267851928345465,0.08289517172620797,0.08026838653337343,0.04027622707112366,-38.44535360706158,-110.48799991893875,24.88439229205582
15_9,5,3171,0.0016211468280973307,0.08859699271658739,0.08697584588849006,0.044722723320336666,-24.867412355160962,-103.16374094449286,24.780474109608832
16_13,23,3153,0.009868896516948444,0.07980793878012726,0.06993904226317882,0.039288103225589066,-58.67697868093836,-90.75284333354688,27.305377609157244
16_7,3,3173,0.0024291406801224547,0.08283220326404583,0.08040306258392338,0.04059202262146866,-36.71636618014633,-110.65669834850152,25.014436389083883
3_5,4,3172,0.0025014147804118814,0.0828474641701834,0.08034604938977152,0.040720699217140166,-37.96600018292715,-110.62932599170537,25.040684135209336
4_16,1,3175,0.002503074728919863,0.08187274378360454,0.07936966905468468,0.0400646729556976,-39.84308115234833,-114.36094176179792,24.796950780970985
4_17,24,3152,0.0023570788059658065,0.0913275487776567,0.08897046997169089,0.043014617264391264,-24.471204969831827,-93.9192109386767,25.586913742173977
4_5,179,2997,0.005472520124954028,0.09235774558225884,0.08688522545730482,0.05714493077651139,-60.05475128241226,-94.4997562272122,27.745251076992496
5_10,24,3152,0.002406744940356531,0.08139290167690494,0.07898615673654841,0.03724796999056046,-54.6387595056929,-99.18580373252598,23.350326779950567
5_14,17,3159,0.002386182797605829,0.07976670166509592,0.07738051886749009,0.0381071662575696,-49.636551810566395,-125.00219526896332,24.29286964303444
5_15,12,3164,0.0026724908205497666,0.07827981158806252,0.07560732076751275,0.037769596408706474,-49.36933369468908,-131.92084663978696,23.802092569684905
5_16,18,3158,0.003748487845656956,0.07362945893881201,0.06988097109315505,0.03535477904510276,-53.25236799333182,-158.6596233641206,22.356958544032718
5_17,18,3158,0.0024861682035406396,0.08355434995076683,0.08106818174722619,0.04061884750797218,-38.04950197770951,-112.07537455577358,25.02528016227735
5_5,340,2836,0.0031838525080316593,0.0683540902431693,0.06517023773513764,0.03777006895850954,59.95760808724645,-172.33348046336224,26.08748174967543
5_6,16,3160,0.002675819219114861,0.08295524469103632,0.08027942547192146,0.04088832396173536,-40.32072715238395,-107.97079045106486,24.765355922868576
5_9,4,3172,0.0024383442387587717,0.08273929461135865,0.08030095037259988,0.04002842552975383,-39.35235632825823,-109.56863867957722,24.825689758714972
6_1,15,3161,0.0025370200321853664,0.08315929780357545,0.08062227777139008,0.04077658699707476,-37.41217405767321,-113.75804425209432,25.40777122961928
6_10,6,3170,0.002384935827794532,0.0822585761229303,0.07987364029513577,0.03979306357664536,-42.311368887765575,-108.32615905745551,24.680246003425772
6_11,2,3174,0.002443273761535636,0.08279726360736306,0.08035398984582742,0.0404176762558055,-37.87514479744988,-110.62116746813727,25.019447890692856
6_14,36,3140,0.0023558245961557978,0.0786483190644488,0.076292494468293,0.03707544443057076,-55.669927094026015,-139.96450226190444,24.12327905019369
6_15,1,3175,0.002445757847293173,0.08230542602125313,0.07985966817395995,0.040210205221438144,-38.85586620961131,-113.41697453125306,24.88445588908545
6_16,10,3166,0.0025531957485468437,0.08066837772758795,0.0781151819790411,0.039263731534480706,-42.75777461273862,-126.68929304330466,24.505206942720477
6_2,1,3175,0.0025946611925397045,0.08399171013982987,0.08139704894729016,0.04119373567762363,-37.26547718309446,-113.42315286852056,25.60383247841112
6_5,230,2946,0.0010209285801213719,0.07843044807327637,0.077409519493155,0.042701905567857024,-14.880733424615233,-131.306049132459,26.975613919549918
6_6,5,3171,0.0025180050008100086,0.08268718200624492,0.08016917700543491,0.04046425848313695,-38.133414642293886,-109.62033193131487,24.867473711392577
7_0,5,3171,0.002553627328155672,0.08297882779263499,0.08042520046447932,0.04072708623391885,-37.235779369675356,-115.41553096632582,25.307948724227238
7_1,20,3156,0.0034571830992600194,0.0908507824301541,0.08739359933089408,0.04507790276162382,-35.87492404314249,-129.79962531856958,28.571384160961138
7_11,19,3157,0.0020976066200646404,0.08104831026319015,0.07895070364312551,0.03950779360643342,-47.85332267281431,-106.97116138984511,25.271985721046192
7_15,5,3171,0.0024084269738696706,0.08258179674756916,0.08017336977369949,0.04033632651518648,-39.217857646361836,-114.397517332164,24.92660858181614
