n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l1_axis_lat,l1_axis_lon,l2_norm_residual_model,q_axis1_eigenvalue,q_axis1_lat,q_axis1_lon,q_axis2_eigenvalue,q_axis2_lat,q_axis2_lon,q_axis3_eigenvalue,q_axis3_lat,q_axis3_lon
81,0.03609129195671146,0.1455878959092003,0.10949660395248884,0.10895718186690462,65.37658418035188,-140.7785134264958,44.60854617514361,24.03713250495754,37.456901170306644,132.46111199003235,-2.334555170706928,26.272858500470615,-115.3169770211135,-21.70257733425059,41.21897380214019,0.3054875120872288
81,0.01595374521230508,0.08395137005588393,0.06799762484357885,0.06851312077542238,47.80690484115379,-142.4546510642564,38.20726219466728,18.795723203523213,-39.447151496038444,-56.14314316859953,2.074969031855329,17.608844049914627,-131.00521039647455,-20.870692235378534,45.27463556258878,-22.31531501457805
81,0.024758856001638185,0.15172203449072652,0.12696317848908834,0.1289373213441659,58.86495597065496,-134.42728250874436,50.56642059637021,24.059104853710203,48.746128385415545,153.60713447691765,3.082837015888747,-6.816146204458151,71.43964237049315,-27.141941869598952,40.43822561939296,-12.713816730805103
81,0.05316628064237994,0.1492540108379784,0.09608773019559846,0.09700827152878544,27.380731664518276,-164.7389372776135,52.90958518424824,31.338813175525544,44.87913312673745,87.29029194621187,-6.769277627966077,-28.007658688193516,29.2715337906036,-24.569535547559468,-32.049747625869905,138.72241073856608
81,0.02517184820025109,0.11859091392561738,0.09341906572536629,0.09329313784580617,52.097372379424684,132.1382412454672,46.59185946608593,23.383781563069917,49.80129006220493,138.72782086780344,3.3820260982703987,19.158793223237765,-106.99524509901943,-26.765807661340308,-33.76415017685841,176.43549982913558
81,0.004660144596702054,0.11834512201686109,0.11368497742015904,0.11298079415189266,-28.489564976228994,172.7300146523868,54.42521052420323,27.886974018601343,-51.72174329151498,-6.32789520150124,-0.019916473690660606,-0.3246862211011284,84.08355772643986,-27.86705754491068,38.27636493240278,-5.660234353428216
81,0.024683665684857137,0.09483373223682934,0.0701500665519722,0.07146350042337102,39.11885118287773,-136.99233444542526,40.82441731752094,22.540881942224885,53.15808356083084,151.40685824425088,-2.412578384118394,6.492732621237241,-109.85624671621238,-20.128303558106502,36.075471055270874,-15.100108258125195
81,0.013180683134688786,0.14746890848255778,0.134288225347869,0.12833333122947044,69.13065020444799,-9.026321570034307,50.82490879788745,31.236881529514978,-63.97407214150575,-13.644049003622811,0.6078954739016434,8.699541049231462,-85.38198404751556,-31.84477700341663,24.3232485212474,8.583925197823158
81,0.03336807926110141,0.1558261619231175,0.12245808266201608,0.12621629127429712,54.59338578054733,-117.87794065171694,55.099883049607904,32.2062542464319,-35.86012530045708,-79.58688438927578,-6.2926645570835875,17.230175164082585,-156.63297664614348,-25.91358968934831,-48.97112251398262,134.24626866612155
81,0.011468829156638605,0.07574270234177205,0.06427387318513345,0.06360076063927644,52.60149482679377,142.27002042958355,40.64448195424161,18.667751801030374,-38.869671609913475,-24.095627150367175,4.094005882735556,-7.411054536331776,71.92246343935918,-22.76175768376592,50.158210090815736,-9.109250098147992
