mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.001574369408982479,0.0024611766006633617,0.0008868071916808828,0.0005843653567044749,3.2898192214273125
global,3176,0.0017923883274950647,0.004162459721795075,0.0023700713943000107,0.002013865761456568,4.053033563207747
global,3176,0.00015423916846601937,0.0018867887455400467,0.0017325495770740273,0.0011713249452987018,4.926767026092034
global,3176,0.0004167822212494121,0.001687841945701818,0.0012710597244524058,0.0008564032657574217,3.381864530208448
global,3176,0.0005773801160624537,0.0011201945738149588,0.0005428144577525051,0.0004749687618119669,2.0189306910154103
global,3176,0.0019121352705717687,0.0037623165123471525,0.0018501812417753838,0.001411941475664591,4.829924426484789
global,3176,0.0010956747442896209,0.0016768823726914794,0.0005812076284018586,0.00044231498411972936,1.5611198592772864
global,3176,0.00040360691647767233,0.0026382729665616056,0.0022346660500839333,0.0017153780776747451,6.419334578843003
global,3176,0.0003354382592691829,0.0014216448082905453,0.0010862065490213624,0.00106937166990706,4.107882230238392
global,3176,0.0005868777179972584,0.002156748453850721,0.0015698707358534625,0.0011698911974481474,4.43659842370116
global,3176,0.000682003780781204,0.002812406658977973,0.0021304028781967688,0.0017025642576329325,4.600505551355411
global,3176,0.0001601434499383103,0.0020365530317828506,0.0018764095818445403,0.0012849153051055495,3.127126543175545
global,3176,0.00030825626973263187,0.0008199555140360193,0.0005116992443033874,0.00030364383880554513,1.8960889572297521
global,3176,0.0018076616511704113,0.0026237913906607124,0.0008161297394903011,0.0005572384966219257,1.302241916502829
global,3176,0.0015865111692598965,0.00276657689702553,0.0011800657277656335,0.0011087643137576153,2.434715168325298
global,3176,0.0026149041819373275,0.0037801831137506126,0.001165278931813285,0.0008174965255954847,2.720679622081138
global,3176,0.0001047934205378187,0.0016203100748021226,0.001515516654264304,0.0008608875304471075,2.2643972891616926
global,3176,0.0007921406439744816,0.0018305717854213421,0.0010384311414468606,0.0007350904239079581,3.5527185713545477
global,3176,0.0003204129851382964,0.0022627261420615774,0.001942313156923281,0.001237012629893508,4.9259804974444314
global,3176,0.0019076152304204896,0.005345049747313757,0.0034374345168932674,0.0029410192720299433,8.124631943027074
global,3176,0.0002893260422666133,0.002340620413513572,0.002051294371246959,0.0016132811596425434,5.832512869955777
global,3176,0.0007153062313876024,0.002392642377596732,0.0016773361462091296,0.0011023033409228722,6.166827143400955
global,3176,0.0003522912799120981,0.0010813377821176084,0.0007290465022055104,0.0006266250062179068,2.3405787403254465
global,3176,0.00037073695917011484,0.0012326708430111522,0.0008619338838410373,0.0006320708381961637,2.9066738837644803
global,3176,0.0008050748027232935,0.0014378885836752175,0.0006328137809519241,0.0004923800837663972,3.16810360124587
global,3176,0.0002767787248366682,0.001749543468927084,0.0014727647440904157,0.0009702438551554282,2.6301342145730806
global,3176,0.0033140253446257706,0.003465799994850305,0.0001517746502245343,0.0001367654020243414,1.0023816790102538
global,3176,0.0008480742464787028,0.0023616887120662122,0.0015136144655875095,0.0008547157366635139,3.5623012216562
global,3176,0.00010966215032237603,0.0006886968667058069,0.0005790347163834308,0.00043463259550968747,2.313043822014525
global,3176,0.0006248190994947445,0.004540544325541851,0.0039157252260471065,0.003297436084965799,5.392873345703268
global,3176,0.0006816416802769565,0.002101855585418755,0.0014202139051417983,0.001090427153739193,4.893447105419336
global,3176,0.0009615571817654933,0.0024048563037855075,0.0014432991220200142,0.0008939884257201935,2.9626187766434153
global,3176,1.8461388723300942e-05,0.001459597203630314,0.001441135814907013,0.0011987832723759917,4.7685602392246444
global,3176,0.0005169803565588937,0.002728846311326971,0.0022118659547680775,0.002052087273285652,5.991774710188225
global,3176,0.0012055502543197871,0.0031115391513786284,0.0019059888970588412,0.0016336096316077464,5.98876393796427
global,3176,0.0005383031156528384,0.0017460516842747742,0.0012077485686219358,0.0006348174917341076,2.1577398955601352
global,3176,0.0002488121908150731,0.002969219176869986,0.002720406986054913,0.0014636093647723003,3.2870914997136453
global,3176,0.000938429454026446,0.005171067724849099,0.004232638270822653,0.0026390037198795735,8.886341027977354
global,3176,0.0008355319228390279,0.0034546824539762877,0.00261915053113726,0.0022047965709285355,6.281813649328729
global,3176,0.00039371706613378077,0.0036805162527007163,0.0032867991865669355,0.002468670402475559,6.296025884249404
global,3176,0.0003877106461761537,0.0012163643204265995,0.0008286536742504458,0.0005826746355047652,2.062798134005355
global,3176,0.0013112163054812553,0.002457512426876418,0.0011462961213951628,0.0007056873340295367,4.638648852562723
global,3176,0.0009972565227115426,0.001440138756696241,0.0004428822339846983,0.00032461145230167077,2.4526141116628835
global,3176,0.0007659008988644134,0.0023998402902711824,0.001633939391406769,0.0011862445323430615,4.896597368684362
global,3176,0.00013285846812094437,0.0010145214752483867,0.0008816630071274423,0.0005458930976254273,2.6422075098346136
global,3176,0.001116346416684011,0.0018918593549820395,0.0007755129382980286,0.0005297406054833864,2.83699357956841
global,3176,0.0007372646967778174,0.005294700177046141,0.004557435480268324,0.004287005657739318,6.468944372856221
global,3176,0.0021713482680402185,0.007207892595144205,0.005036544327103987,0.0036313638947760296,9.648811382235722
global,3176,0.00012962625709000974,0.0006527487852295843,0.0005231225281395746,0.00043364731895212394,2.86465273236047
global,3176,0.00014628790959425597,0.0032080835693518717,0.0030617956597576157,0.0017014547359472942,6.494971816006845
global,3176,0.0016961802174625396,0.0035559018864453895,0.00185972166898285,0.0018210389346385858,6.9654736578577205
global,3176,3.684816029403404e-05,0.0011377372331826674,0.0011008890728886334,0.0010093498601986273,2.8105227329203446
global,3176,0.0007161150977734732,0.0013010083457387633,0.0005848932479652902,0.0003679988378817445,3.36296763391302
global,3176,0.0003554456290527641,0.0012670345976744102,0.0009115889686216461,0.0007194753772760132,4.813128874748799
global,3176,0.0008353787873175422,0.0013927450380504247,0.0005573662507328825,0.0002933117341611391,2.0653837938814217
global,3176,0.0001407939055675378,0.0013168755879170435,0.0011760816823495057,0.0007879864526969538,3.709330259021385
